cd_fcu;tem_risco;n_setores_risco
16003030004;0;0
16003030005;0;0
16003030006;0;0
16003030007;0;0
16003030008;0;0
16003030010;0;0
16003030011;0;0
16003030012;0;0
16003030013;0;0
16003030014;0;0
16003030015;0;0
16003030016;0;0
16003030017;0;0
16003030019;0;0
16003030020;0;0
16003030021;0;0
16003030023;0;0
16003030024;0;0
16003030025;0;0
16003030026;0;0
16003030027;0;0
16003030028;0;0
16003030029;0;0
16003030030;0;0
16003030031;0;0
16003030032;0;0
16003030033;0;0
16003030034;0;0
16003030035;0;0
16003030036;0;0
16003030037;0;0
16003030038;0;0
16003030039;0;0
16003030040;0;0
16003030041;0;0
16003030042;0;0
16003030043;0;0
16003030044;0;0
16003030045;0;0
16003030046;0;0
16003030047;0;0
16003030048;0;0
16003030049;0;0
16003030052;0;0
16003030053;0;0
16003030054;0;0
16003030056;0;0
16003030063;0;0
16003030064;0;0
16003030067;0;0
16003030069;0;0
16003030071;0;0
16003030073;0;0
16003030076;0;0
16003030077;0;0
16003030079;0;0
16003030080;0;0
16003030081;0;0
16003030082;0;0
16003030083;0;0
16003030084;0;0
16003030085;0;0
16003030086;0;0
16003030087;0;0
16003030088;0;0
16003030089;0;0
16003030090;0;0
16003030092;0;0
16003030093;0;0
16003030094;0;0
16003030095;0;0
16003030096;0;0
16003030097;0;0
16003030098;0;0
16003030099;0;0
16003030100;0;0
16003030101;0;0
16003030102;0;0
16003030103;0;0
16003030104;0;0
16003030105;0;0
16006000002;1;1
16006000003;1;1
16006000004;1;1
16006000005;0;0
16006000006;1;1
16006000007;1;1
16006000008;0;0
16006000009;1;1
16006000015;0;0
16006000016;1;1
16006000017;1;1
16006000018;1;1
16006000019;1;1
16006000020;0;0
16006000021;0;0
16006000023;0;0
16006000024;0;0
16006000025;0;0
16006000026;0;0
16006000028;0;0
16006000029;0;0
16006000030;0;0
16006000031;0;0
16006000032;0;0
16006000034;0;0
16008080001;1;1
16008080002;1;1
16008080003;1;1
