cd_fcu;CMAET60;CMAST60;CMATT60;CMACT60;year;nm_fcu;cd_mun;nm_mun
13000600002;NA;NA;NA;NA;NA;São Francisco;1300060;Amaturá
13001020001;NA;NA;NA;NA;NA;Vila Izabel;1300102;Anori
13001020002;NA;NA;NA;NA;NA;Bairro Jefferson Peres;1300102;Anori
13001020003;NA;NA;NA;NA;NA;Vila Raimunda;1300102;Anori
13004090001;NA;NA;NA;NA;NA;Marara;1300409;Barcelos
13004090002;NA;NA;NA;NA;NA;Mariua;1300409;Barcelos
13004090003;NA;NA;NA;NA;NA;Santo Antônio;1300409;Barcelos
13005080001;NA;NA;NA;NA;NA;Nova Conquista;1300508;Barreirinha
13006070001;NA;NA;NA;NA;NA;Javarizinho;1300607;Benjamin Constant
13006070002;NA;NA;NA;NA;NA;Baixada Fluminense;1300607;Benjamin Constant
13006070004;NA;NA;NA;NA;NA;Ocupação Irregular Ponta Negra;1300607;Benjamin Constant
13006800001;NA;NA;NA;NA;NA;São Sebastião;1300680;Boa Vista do Ramos
13006800002;NA;NA;NA;NA;NA;Bairro Monte Sião;1300680;Boa Vista do Ramos
13007060001;NA;NA;NA;NA;NA;Shan;1300706;Boca do Acre
13007060002;NA;NA;NA;NA;NA;Conjunto Antonio Jorge;1300706;Boca do Acre
13007060003;NA;NA;NA;NA;NA;Conjunto João Pedro;1300706;Boca do Acre
13007060004;NA;NA;NA;NA;NA;Rabo da Cobra;1300706;Boca do Acre
13010010001;NA;NA;NA;NA;NA;Ponte do Futuro;1301001;Carauari
13010010002;NA;NA;NA;NA;NA;Conjunto da Caixa;1301001;Carauari
13012090001;NA;NA;NA;NA;NA;Oriente;1301209;Coari
13012090002;NA;NA;NA;NA;NA;Ciganópolis;1301209;Coari
13012090003;NA;NA;NA;NA;NA;Itamarati;1301209;Coari
13012090004;NA;NA;NA;NA;NA;Nazaré Pinheiro;1301209;Coari
13012090005;NA;NA;NA;NA;NA;Loteamento Monte Sinai;1301209;Coari
13012090006;NA;NA;NA;NA;NA;Chagas Aguiar;1301209;Coari
13012090008;NA;NA;NA;NA;NA;Bairro do Pera;1301209;Coari
13012090009;NA;NA;NA;NA;NA;Cesário Campelo;1301209;Coari
13012090010;NA;NA;NA;NA;NA;Loteamento Jacó;1301209;Coari
13012090011;NA;NA;NA;NA;NA;Loteamento Jerusalém;1301209;Coari
13013080001;NA;NA;NA;NA;NA;Grande Vitória;1301308;Codajás
13013080002;NA;NA;NA;NA;NA;Comunidade Bela Vista;1301308;Codajás
13013080003;NA;NA;NA;NA;NA;Nova Conquista I;1301308;Codajás
13013080004;NA;NA;NA;NA;NA;Nova Conquista II;1301308;Codajás
13013080005;NA;NA;NA;NA;NA;PETI;1301308;Codajás
13014070001;NA;NA;NA;NA;NA;Baixada/Morada do Sol;1301407;Eirunepé
13014070002;NA;NA;NA;NA;NA;Ponta do Vento;1301407;Eirunepé
13014070003;NA;NA;NA;NA;NA;Abacabal;1301407;Eirunepé
13014070004;NA;NA;NA;NA;NA;Campo do Corisco;1301407;Eirunepé
13015060001;NA;NA;NA;NA;NA;Várzea;1301506;Envira
13016540002;NA;NA;NA;NA;NA;Várzea da Floresta;1301654;Guajará
13018030001;NA;NA;NA;NA;NA;Igarapé da Extrema A;1301803;Ipixuna
13018030002;NA;NA;NA;NA;NA;Várzea;1301803;Ipixuna
13018030003;NA;NA;NA;NA;NA;Igarapé da Extrema B;1301803;Ipixuna
13018520001;NA;NA;NA;NA;NA;Cacau Pirera;1301852;Iranduba
13018520002;NA;NA;NA;NA;NA;Alto de Nazaré;1301852;Iranduba
13018520003;NA;NA;NA;NA;NA;Ariaú;1301852;Iranduba
13018520004;NA;NA;NA;NA;NA;Graça Lopes;1301852;Iranduba
13018520005;NA;NA;NA;NA;NA;Lago do Limão;1301852;Iranduba
13018520006;NA;NA;NA;NA;NA;Laranjal;1301852;Iranduba
13018520007;NA;NA;NA;NA;NA;Nova Veneza;1301852;Iranduba
13018520008;NA;NA;NA;NA;NA;Paricatuba;1301852;Iranduba
13018520009;NA;NA;NA;NA;NA;Parque Caboclo;1301852;Iranduba
13018520010;NA;NA;NA;NA;NA;São José;1301852;Iranduba
13018520012;NA;NA;NA;NA;NA;São Sebastião;1301852;Iranduba
13019020001;NA;NA;NA;NA;NA;Jauary;1301902;Itacoatiara
13019020002;NA;NA;NA;NA;NA;Araújo Costa;1301902;Itacoatiara
13019020003;NA;NA;NA;NA;NA;Moisés Israel;1301902;Itacoatiara
13019020004;NA;NA;NA;NA;NA;Mamoud Amed A;1301902;Itacoatiara
13019020005;NA;NA;NA;NA;NA;São Francisco;1301902;Itacoatiara
13019020008;NA;NA;NA;NA;NA;Comunidade Nova Jerusalém;1301902;Itacoatiara
13019020009;NA;NA;NA;NA;NA;Área dos Igarapés;1301902;Itacoatiara
13019020010;NA;NA;NA;NA;NA;Bairro da Paz;1301902;Itacoatiara
13019020011;NA;NA;NA;NA;NA;Bairro São Francisco;1301902;Itacoatiara
13019020012;NA;NA;NA;NA;NA;Colônia/Pedreiras;1301902;Itacoatiara
13019020013;NA;NA;NA;NA;NA;Comunidade Boa Esperança;1301902;Itacoatiara
13019020017;NA;NA;NA;NA;NA;Jardim Florestal/Mamoud Amed;1301902;Itacoatiara
13019020019;NA;NA;NA;NA;NA;João Braga;1301902;Itacoatiara
13019020021;NA;NA;NA;NA;NA;Nogueira Júnior;1301902;Itacoatiara
13019020023;NA;NA;NA;NA;NA;Aningal Prainha;1301902;Itacoatiara
13019020024;NA;NA;NA;NA;NA;Prainha/Santo Antonio;1301902;Itacoatiara
13019020026;NA;NA;NA;NA;NA;Mamoud Amed B;1301902;Itacoatiara
13024050001;NA;NA;NA;NA;NA;Beira Rio;1302405;Lábrea
13024050002;NA;NA;NA;NA;NA;Igarapé da Fonte;1302405;Lábrea
13024050003;NA;NA;NA;NA;NA;Igarapé da Ponte;1302405;Lábrea
13024050004;NA;NA;NA;NA;NA;Vila Falcão;1302405;Lábrea
13024050005;NA;NA;NA;NA;NA;Beira Rio 2;1302405;Lábrea
13024050006;NA;NA;NA;NA;NA;Morro do Macaco/Terra da Vivo;1302405;Lábrea
13024050007;NA;NA;NA;NA;NA;Beco da Telemar;1302405;Lábrea
13025040001;NA;NA;NA;NA;NA;Monte Cristo;1302504;Manacapuru
13025040002;NA;NA;NA;NA;NA;Loteamento Deus é Fiel;1302504;Manacapuru
13025040004;NA;NA;NA;NA;NA;Morada do Sol;1302504;Manacapuru
13025040006;NA;NA;NA;NA;NA;Biribiri;1302504;Manacapuru
13025040007;NA;NA;NA;NA;NA;Terra Preta;1302504;Manacapuru
13025040008;NA;NA;NA;NA;NA;Nova Manacá;1302504;Manacapuru
13025040009;NA;NA;NA;NA;NA;Morada do Sol/União;1302504;Manacapuru
13025040013;NA;NA;NA;NA;NA;Correnteza;1302504;Manacapuru
13025040014;NA;NA;NA;NA;NA;São Francisco;1302504;Manacapuru
13025040015;NA;NA;NA;NA;NA;Liberdade;1302504;Manacapuru
13025040016;NA;NA;NA;NA;NA;Rip-Rap Bairro Liberdade;1302504;Manacapuru
13025040017;NA;NA;NA;NA;NA;Novo Horizonte;1302504;Manacapuru
13025040018;NA;NA;NA;NA;NA;Vale Verde;1302504;Manacapuru
13025040019;NA;NA;NA;NA;NA;São João do Miriti;1302504;Manacapuru
13026030002;NA;NA;NA;NA;NA;Santa Etelvina;1302603;Manaus
13026030016;NA;NA;NA;NA;NA;Igarapé de São Raimundo;1302603;Manaus
13026030017;NA;NA;NA;NA;NA;Igarapé do Crespo;1302603;Manaus
13026030022;NA;NA;NA;NA;NA;Igarapé da Cachoeirinha;1302603;Manaus
13026030023;NA;NA;NA;NA;NA;Jorge Teixeira;1302603;Manaus
13026030024;NA;NA;NA;NA;NA;São Sebastião;1302603;Manaus
13026030025;NA;NA;NA;NA;NA;Nossa Senhora de Fátima;1302603;Manaus
13026030026;NA;NA;NA;NA;NA;Colônia Terra Nova;1302603;Manaus
13026030027;NA;NA;NA;NA;NA;Santa Inês;1302603;Manaus
13026030033;NA;NA;NA;NA;NA;Sucupira/Monte Sião;1302603;Manaus
13026030035;NA;NA;NA;NA;NA;Valparaíso;1302603;Manaus
13026030036;NA;NA;NA;NA;NA;Nova Floresta;1302603;Manaus
13026030037;NA;NA;NA;NA;NA;Loteamento João Paulo;1302603;Manaus
13026030038;NA;NA;NA;NA;NA;Colônia Chico Mendes;1302603;Manaus
13026030039;NA;NA;NA;NA;NA;Cidade de Deus/Alfredo Nascimento;1302603;Manaus
13026030043;NA;NA;NA;NA;NA;Jardim Tropical;1302603;Manaus
13026030046;NA;NA;NA;NA;NA;Monte Bela Vista;1302603;Manaus
13026030048;NA;NA;NA;NA;NA;Riacho Fundo;1302603;Manaus
13026030050;NA;NA;NA;NA;NA;Novo Reino II;1302603;Manaus
13026030051;NA;NA;NA;NA;NA;Gilberto Mestrinho;1302603;Manaus
13026030052;NA;NA;NA;NA;NA;Grande Vitória;1302603;Manaus
13026030053;NA;NA;NA;NA;NA;Nova Vitória;1302603;Manaus
13026030055;NA;NA;NA;NA;NA;Igarapé da Castanha - Matinha;1302603;Manaus
13026030056;NA;NA;NA;NA;NA;Comunidade Lagoa Azul 2;1302603;Manaus
13026030057;NA;NA;NA;NA;NA;Comunidade Nobre;1302603;Manaus
13026030058;NA;NA;NA;NA;NA;Comunidade 23 de Setembro;1302603;Manaus
13026030060;NA;NA;NA;NA;NA;Igarapé da Cachoeira - São Jorge;1302603;Manaus
13026030061;NA;NA;NA;NA;NA;Santo Agostinho;1302603;Manaus
13026030062;NA;NA;NA;NA;NA;Meu Bem Meu Mal;1302603;Manaus
13026030065;NA;NA;NA;NA;NA;Parque das Nações;1302603;Manaus
13026030067;NA;NA;NA;NA;NA;Comunidade São Pedro;1302603;Manaus
13026030069;NA;NA;NA;NA;NA;Monte das Oliveiras;1302603;Manaus
13026030073;NA;NA;NA;NA;NA;Sapolândia;1302603;Manaus
13026030074;NA;NA;NA;NA;NA;Aliança com Deus;1302603;Manaus
13026030075;NA;NA;NA;NA;NA;Cidade Alta;1302603;Manaus
13026030076;NA;NA;NA;NA;NA;Nossa Senhora do Perpétuo Socorro;1302603;Manaus
13026030077;NA;NA;NA;NA;NA;São Camilo;1302603;Manaus
13026030078;NA;NA;NA;NA;NA;Nova Conquista;1302603;Manaus
13026030079;NA;NA;NA;NA;NA;Comunidade São Lucas;1302603;Manaus
13026030080;NA;NA;NA;NA;NA;Comunidade São João;1302603;Manaus
13026030081;NA;NA;NA;NA;NA;Comunidade Parque Santa Itelvina;1302603;Manaus
13026030082;NA;NA;NA;NA;NA;Bairro da União;1302603;Manaus
13026030083;NA;NA;NA;NA;NA;Igarapé do Mindú Novo Aleixo;1302603;Manaus
13026030084;NA;NA;NA;NA;NA;Comunidade Jesus me deu;1302603;Manaus
13026030085;NA;NA;NA;NA;NA;Comunidade Santa Marta;1302603;Manaus
13026030086;NA;NA;NA;NA;NA;Comunidade Riachuelo;1302603;Manaus
13026030087;NA;NA;NA;NA;NA;Comunidade Raio do Sol;1302603;Manaus
13026030088;NA;NA;NA;NA;NA;Comunidade Celebridade;1302603;Manaus
13026030089;NA;NA;NA;NA;NA;Comunidade Campos Sales;1302603;Manaus
13026030090;NA;NA;NA;NA;NA;Comunidade Lirio do Campo;1302603;Manaus
13026030091;NA;NA;NA;NA;NA;Comunidade Jacarezinho;1302603;Manaus
13026030092;NA;NA;NA;NA;NA;Comunidade Cristo Rei;1302603;Manaus
13026030093;NA;NA;NA;NA;NA;Comunidade Portal da Cachoeira;1302603;Manaus
13026030094;NA;NA;NA;NA;NA;Rip Rap Igarapé do Bombeamento;1302603;Manaus
13026030095;NA;NA;NA;NA;NA;Comunidade Pantanal;1302603;Manaus
13026030096;NA;NA;NA;NA;NA;Conjunto Lagoa Verde;1302603;Manaus
13026030097;NA;NA;NA;NA;NA;Comunidade da Sharp;1302603;Manaus
13026030098;NA;NA;NA;NA;NA;Comunidade Vila da Felicidade;1302603;Manaus
13026030099;NA;NA;NA;NA;NA;Comunidade 11 de Maio;1302603;Manaus
13026030100;NA;NA;NA;NA;NA;Comunidade Buritis III;1302603;Manaus
13026030101;NA;NA;NA;NA;NA;Comunidade Coliseu;1302603;Manaus
13026030102;NA;NA;NA;NA;NA;Comunidade Bom Jesus;1302603;Manaus
13026030103;NA;NA;NA;NA;NA;Comunidade Barcelona;1302603;Manaus
13026030104;NA;NA;NA;NA;NA;Comunidade Vila Nova;1302603;Manaus
13026030105;NA;NA;NA;NA;NA;Comunidade Águas Claras;1302603;Manaus
13026030106;NA;NA;NA;NA;NA;Comunidade Castanheira;1302603;Manaus
13026030107;NA;NA;NA;NA;NA;Comunidade Coração de Mãe;1302603;Manaus
13026030108;NA;NA;NA;NA;NA;Comunidade Novo Millenium;1302603;Manaus
13026030111;NA;NA;NA;NA;NA;Comunidade Estrela de Davi;1302603;Manaus
13026030113;NA;NA;NA;NA;NA;Comunidade Paraíso Verde;1302603;Manaus
13026030116;NA;NA;NA;NA;NA;Aleixo;1302603;Manaus
13026030117;NA;NA;NA;NA;NA;Alvorada I A;1302603;Manaus
13026030118;NA;NA;NA;NA;NA;Cemitério Indígena;1302603;Manaus
13026030119;NA;NA;NA;NA;NA;Chapada;1302603;Manaus
13026030120;NA;NA;NA;NA;NA;Comunidade Estrada do Belvedere;1302603;Manaus
13026030121;NA;NA;NA;NA;NA;Comunidade Galiléia;1302603;Manaus
13026030124;NA;NA;NA;NA;NA;Conjunto Parque Eduardo Gomes;1302603;Manaus
13026030125;NA;NA;NA;NA;NA;Coroado III;1302603;Manaus
13026030126;NA;NA;NA;NA;NA;Dom Pedro;1302603;Manaus
13026030127;NA;NA;NA;NA;NA;Flores;1302603;Manaus
13026030128;NA;NA;NA;NA;NA;Japiim;1302603;Manaus
13026030129;NA;NA;NA;NA;NA;Loteamento Jerusalém;1302603;Manaus
13026030130;NA;NA;NA;NA;NA;Loteamento Parque das Laranjeiras;1302603;Manaus
13026030131;NA;NA;NA;NA;NA;Loteamento Rio Piorini V;1302603;Manaus
13026030132;NA;NA;NA;NA;NA;Nossa Senhora das Graças;1302603;Manaus
13026030134;NA;NA;NA;NA;NA;Redenção A;1302603;Manaus
13026030135;NA;NA;NA;NA;NA;Rua Cuba;1302603;Manaus
